Grade	Subject	Chapter Name	Learning Outcomes
CLASS_3	English	Unit 8: What's in the Mailbox? (Poem), My Silly Sister (Story)	"• Understand the function of a post office and letters.<br>• Enjoy a humorous poem.<br>• Understand the feelings of a child in a story.<br>• Identify opposites (e.g., up/down, go/stop).<br>• Write a short dialogue."
CLASS_3	English	Unit 9: Granny Granny Please Comb My Hair (Poem), The Magic Porridge Pot (Story)	"• Relate a poem to a daily routine (combing hair).<br>• Understand the importance of listening to instructions.<br>• Identify words that show action (verbs) and describe action (adverbs).<br>• Write a short story with a moral."
CLASS_4	EVS	Chapter 10: The Food We Eat	"• Classify food items into different groups (e.g., food from plants, food from animals).<br>• Understand the importance of a balanced diet.<br>• Identify food items eaten during festivals."
CLASS_4	EVS	Chapter 11: From Here to There	"• Identify different means of transport (land, water, air).<br>• Understand the purpose of different vehicles.<br>• Recognize the need for safety while travelling."
CLASS_4	EVS	Chapter 12: Work We Do	"• Identify different types of work and professions.<br>• Understand the tools and equipment used by different workers.<br>• Appreciate the dignity of labour and the interdependence of workers."
CLASS_4	EVS	Chapter 13: Sharing Our Feelings	"• Understand and express different feelings (happiness, sadness, fear, anger).<br>• Develop empathy and learn to help others in need.<br>• Understand the importance of sharing feelings with family and friends."
CLASS_4	EVS	Chapter 14: Rupees and Paise	"• Identify Indian currency notes and coins.<br>• Convert rupees to paise and vice-versa (₹1 = 100 paise).<br>• Add and subtract amounts of money."
CLASS_4	EVS	Chapter 15: Making Pots	"• Understand the process of making pots from clay.<br>• Identify the tools used by a potter.<br>• Appreciate the work of artisans and the beauty of handmade objects."
CLASS_4	EVS	Chapter 16: Games We Play	"• Identify different types of games (indoor, outdoor, local, global).<br>• Understand the importance of rules in games.<br>• Develop team spirit and sportsmanship."
CLASS_4	EVS	Chapter 17: Here comes a Letter	"• Understand the process of sending and receiving a letter.<br>• Identify the role of the post office and the postman.<br>• Learn about different means of communication (letter, telephone, email)."
CLASS_4	EVS	Chapter 18: A House Like This	"• Identify different types of houses found in different parts of India.<br>• Understand how houses are suited to the local climate and materials available.<br>• Appreciate the diversity of housing in India."
CLASS_4	EVS	Chapter 19: Our Friends – Animals	"• Differentiate between pet, domestic, and wild animals.<br>• Understand the needs of animals (food, water, shelter).<br>• Develop a caring and responsible attitude towards animals."
CLASS_4	EVS	Chapter 1: Going to School	"• Identify different means of transport used to come to school.<br>• Understand the concept of a safe route to school.<br>• Recognize different landmarks on the way to school."
CLASS_4	EVS	Chapter 20: Drop by Drop	"• Understand the importance of every drop of water.<br>• Learn traditional and modern ways of conserving water.<br>• Understand the problem of water scarcity."
CLASS_4	EVS	Chapter 21: Families can be Different	"• Understand that families can be of different types and sizes.<br>• Appreciate that all families give love and care.<br>• Develop respect for different family structures."
CLASS_4	EVS	Chapter 22: Left-Right	"• Understand and use the concepts of 'left' and 'right'.<br>• Follow directions involving left and right.<br>• Develop spatial awareness and map-reading skills (basic)."
CLASS_4	EVS	Chapter 23: A Beautiful Cloth	"• Understand the process of weaving cloth.<br>• Identify different types of fabrics (cotton, silk, wool).<br>• Appreciate the work of weavers and the beauty of hand-woven cloth."
CLASS_4	EVS	Chapter 24: Web of Life	"• Understand the concept of a food chain and a food web.<br>• Recognize the interdependence of plants and animals.<br>• Develop an awareness of the balance in nature."
CLASS_4	EVS	Chapter 2: Ear to Ear	"• Identify different animals and their young ones.<br>• Understand that animals have different body coverings (fur, feathers, scales).<br>• Recognize the sounds made by different animals."
CLASS_4	EVS	Chapter 3: A Day with Nandu	"• Understand the life of an elephant (diet, habitat, family).<br>• Develop empathy towards animals.<br>• Learn about animal families (herd)."
CLASS_4	EVS	Chapter 4: The Story of Amrita	"• Understand the importance of trees and environmental conservation.<br>• Learn about the Bishnoi community and their efforts to protect nature.<br>• Develop a sense of responsibility towards the environment."
CLASS_4	EVS	Chapter 5: Anita and the Honeybees	"• Understand the life cycle of a honeybee.<br>• Learn about the process of beekeeping and honey collection.<br>• Develop an awareness about the importance of bees in the ecosystem."
CLASS_4	English	Unit 1: Wake Up! (Poem), Noses (Story)	"• Recite a poem with expression and actions.<br>• Understand the importance of different body parts (noses).<br>• Identify rhyming words.<br>• Write a short description of a favourite body part."
CLASS_4	English	Unit 2: Run! (Poem), Alice in Wonderland (Story)	"• Understand the joy of physical activity and running.<br>• Interpret a fantasy story and distinguish between real and imaginary.<br>• Identify and use simple prepositions (under, over, through).<br>• Write a short description of a character."
CLASS_4	English	Unit 3: Nida's Story (Story), My Little Cloud (Poem)	"• Understand the importance of friendship and helping others.<br>• Appreciate a poem about nature and weather.<br>• Identify naming words (nouns) and action words (verbs).<br>• Form simple sentences about their daily routine."
CLASS_4	English	Unit 4: The Village Teacher (Story), Hiawatha (Poem)	"• Understand the value of education and respect for teachers.<br>• Appreciate a poem about nature and native cultures.<br>• Identify and use describing words (adjectives).<br>• Write a short paragraph on a teacher."
CLASS_4	English	Unit 5: The Blind Man and the Elephant (Story), The Giving Tree (Story)	"• Understand the importance of listening to others' perspectives.<br>• Interpret a story about selfless love and kindness.<br>• Identify words that show action (verbs) and describe action (adverbs).<br>• Write a short story with a clear moral."
CLASS_4	English	Unit 6: What's in the Mailbox? (Poem), The Tale of the Pencil (Story)	"• Understand the function of a post office and letters.<br>• Appreciate a story about creativity and the simple life of a pencil.<br>• Identify opposites and synonyms.<br>• Write a short dialogue."
CLASS_4	English	Unit 7: Helen Keller (Story), A Visit to Cambridge (Story)	"• Understand the challenges faced by people with disabilities.<br>• Develop empathy and respect for differently-abled individuals.<br>• Interpret narratives about personal struggle and triumph.<br>• Write a short biographical sketch."
CLASS_4	English	Unit 8: The Treasure Within (Story), The Old Clock Shop (Story)	"• Recognize individual talents and appreciate the simple things in life.<br>• Understand the concept of time and history.<br>• Identify and use simple past tense verbs.<br>• Write a short story set in an old shop."
CLASS_4	English	Unit 9: The Clever Farmer (Story), A Watering Rhyme (Poem)	"• Understand the moral of intelligence over strength.<br>• Appreciate a poem about nature and gardening.<br>• Identify common nouns and proper nouns.<br>• Write a short paragraph on their favourite animal."
CLASS_4	Mathematics	Chapter 10: Play with Patterns	"• Identify, extend, and create patterns using shapes, colours, and numbers.<br>• Understand the rules that govern a pattern.<br>• Understand even and odd number patterns."
CLASS_4	Mathematics	Chapter 11: Tables and Shares	"• Understand multiplication as repeated addition.<br>• Learn multiplication tables up to 10.<br>• Understand division as equal sharing and repeated subtraction."
CLASS_4	Mathematics	Chapter 12: How Heavy? How Light?	"• Compare the weight of different objects using non-standard and standard units (kg, g).<br>• Understand the concept of balance and weighing scale.<br>• Solve simple problems related to weight."
CLASS_4	Mathematics	Chapter 13: Fields and Fences	"• Understand the concept of perimeter and area (informal introduction).<br>• Measure the perimeter of simple shapes using a ruler.<br>• Compare the areas of different shapes."
CLASS_4	Mathematics	Chapter 14: Jugs and Mugs	"• Measure and compare capacities of different containers.<br>• Measure capacity using standard units (litre, millilitre).<br>• Solve word problems related to capacity."
CLASS_4	Mathematics	Chapter 1: Building with Bricks	"• Identify and describe 2-D and 3-D shapes.<br>• Understand and identify different views (top, side, front) of 3-D objects.<br>• Draw shapes freehand and using a ruler."
CLASS_4	Mathematics	Chapter 2: Long and Short	"• Measure lengths using standard units (centimetres and metres).<br>• Compare lengths using standard units.<br>• Convert metres to centimetres and vice-versa (basic)."
CLASS_4	Mathematics	Chapter 3: A Trip to Bhopal	"• Add and subtract 4-digit numbers with and without carrying/borrowing.<br>• Solve word problems involving addition and subtraction.<br>• Understand the concept of distance and speed (basic)."
CLASS_4	Mathematics	Chapter 4: Tick-Tick-Tick	"• Read time to the minute on a clock.<br>• Convert hours to minutes and vice-versa.<br>• Solve word problems related to time duration."
CLASS_4	Mathematics	Chapter 5: The Way the World Looks	"• Understand and identify different views (top, side, front) of 3-D objects.<br>• Draw mirror images and symmetrical shapes.<br>• Understand the concept of map reading (basic)."
CLASS_4	Mathematics	Chapter 6: The Junk Seller	"• Understand the concept of money and profit/loss (basic introduction).<br>• Add and subtract amounts of money.<br>• Solve word problems related to buying and selling."
CLASS_4	Mathematics	Chapter 7: Jugs and Mugs	"• Measure and compare capacities of different containers.<br>• Measure capacity using standard units (litre, millilitre).<br>• Solve word problems related to capacity."
CLASS_4	Mathematics	Chapter 8: Carts and Wheels	"• Understand the concept of a circle (centre, radius, diameter).<br>• Identify objects with circular shapes.<br>• Draw circles using various methods."
CLASS_4	Mathematics	Chapter 9: Halves and Quarters	"• Understand the concept of fractions (halves, quarters, three-quarters).<br>• Identify and represent fractions using diagrams.<br>• Compare simple fractions."
CLASS_5	EVS	Chapter 10: What is Cooking?	"• Identify different utensils used for cooking.<br>• Understand the concept of fuel used for cooking.<br>• Learn about safety measures to be taken in the kitchen."
CLASS_5	EVS	Chapter 11: From Here to There	"• Identify different means of transport.<br>• Classify transport based on the medium (land, water, air).<br>• Understand the need for safety rules on the road."
CLASS_5	EVS	Chapter 12: Work We Do	"• Identify different types of work and professions.<br>• Understand the tools and equipment used by different workers.<br>• Appreciate the dignity of labour and the interdependence of workers."
CLASS_5	EVS	Chapter 13: Sharing Our Feelings	"• Understand and express different feelings (happiness, sadness, fear, anger).<br>• Develop empathy and learn to help others in need.<br>• Understand the importance of sharing feelings with family and friends."
CLASS_5	EVS	Chapter 14: Rupees and Paise	"• Identify Indian currency notes and coins.<br>• Convert rupees to paise and vice-versa (₹1 = 100 paise).<br>• Add and subtract amounts of money."
CLASS_5	EVS	Chapter 15: Making Pots	"• Understand the process of making pots from clay.<br>• Identify the tools used by a potter.<br>• Appreciate the work of artisans and the beauty of handmade objects."
CLASS_5	EVS	Chapter 16: Games We Play	"• Identify different types of games (indoor, outdoor, local, global).<br>• Understand the importance of rules in games.<br>• Develop team spirit and sportsmanship."
CLASS_5	EVS	Chapter 17: Here comes a Letter	"• Understand the process of sending and receiving a letter.<br>• Identify the role of the post office and the postman.<br>• Learn about different means of communication (letter, telephone, email)."
CLASS_5	EVS	Chapter 18: A House Like This	"• Identify different types of houses found in different parts of India.<br>• Understand how houses are suited to the local climate and materials available.<br>• Appreciate the diversity of housing in India."
CLASS_5	EVS	Chapter 19: Our Friends – Animals	"• Differentiate between pet, domestic, and wild animals.<br>• Understand the needs of animals (food, water, shelter).<br>• Develop a caring and responsible attitude towards animals."
CLASS_5	EVS	Chapter 1: Going to School	"• Identify different means of transport used to come to school.<br>• Understand the concept of a safe route to school.<br>• Recognize different landmarks on the way to school."
CLASS_5	EVS	Chapter 20: Drop by Drop	"• Understand the importance of every drop of water.<br>• Learn traditional and modern ways of conserving water.<br>• Understand the problem of water scarcity."
CLASS_5	EVS	Chapter 21: Families can be Different	"• Understand that families can be of different types and sizes.<br>• Appreciate that all families give love and care.<br>• Develop respect for different family structures."
CLASS_5	EVS	Chapter 22: Left-Right	"• Understand and use the concepts of 'left' and 'right'.<br>• Follow directions involving left and right.<br>• Develop spatial awareness and map-reading skills (basic)."
CLASS_5	EVS	Chapter 23: A Beautiful Cloth	"• Understand the process of weaving cloth.<br>• Identify different types of fabrics (cotton, silk, wool).<br>• Appreciate the work of weavers and the beauty of hand-woven cloth."
CLASS_5	EVS	Chapter 24: Web of Life	"• Understand the concept of a food chain and a food web.<br>• Recognize the interdependence of plants and animals.<br>• Develop an awareness of the balance in nature."
CLASS_5	EVS	Chapter 2: Ear to Ear	"• Identify different animals and their young ones.<br>• Understand that animals have different body coverings (fur, feathers, scales).<br>• Recognize the sounds made by different animals."
CLASS_5	EVS	Chapter 3: A Day with Nandu	"• Understand the life of an elephant (diet, habitat, family).<br>• Develop empathy towards animals.<br>• Learn about animal families (herd)."
CLASS_5	EVS	Chapter 4: The Story of Amrita	"• Understand the importance of trees and environmental conservation.<br>• Learn about the Bishnoi community and their efforts to protect nature.<br>• Develop a sense of responsibility towards the environment."
CLASS_5	EVS	Chapter 5: Anita and the Honeybees	"• Understand the life cycle of a honeybee.<br>• Learn about the process of beekeeping and honey collection.<br>• Develop an awareness about the importance of bees in the ecosystem."
CLASS_5	English	Unit 1: Ice-cream Man (Poem), Wonderful Waste! (Story)	"• Recite a poem with expression and actions.<br>• Understand the concept of recycling and resourcefulness.<br>• Identify rhyming words.<br>• Write a short description of a favourite food item."
CLASS_5	English	Unit 2: Teamwork (Poem), Flying Together (Story)	"• Understand the importance of teamwork and cooperation.<br>• Interpret a story about listening to elders.<br>• Identify naming words (nouns) and action words (verbs).<br>• Write a short paragraph on a team activity."
CLASS_5	English	Unit 3: My Shadow (Poem), The Enormous Turnip (Story)	"• Understand the concept of light and shadow.<br>• Interpret a story about persistence and helping each other.<br>• Identify describing words (adjectives).<br>• Write a short paragraph on a character."
CLASS_5	English	Unit 4: Crying (Poem), The Lazy Frog (Story)	"• Understand and express different feelings (sadness, happiness).<br>• Interpret a story about laziness and its consequences.<br>• Identify opposites (e.g., up/down, go/stop).<br>• Write a short dialogue."
CLASS_5	English	Unit 5: The Talkative Barber (Story), The Giving Tree (Story)	"• Enjoy a humorous story.<br>• Interpret a story about selfless love and kindness.<br>• Identify words that show action (verbs) and describe action (adverbs).<br>• Write a short story with a clear moral."
CLASS_5	English	Unit 6: Gulliver's Travels (Story), The Tale of the Pencil (Story)	"• Understand adventure narratives and different perspectives.<br>• Appreciate a story about creativity and the simple life of a pencil.<br>• Identify words that show action (verbs) and describe action (adverbs).<br>• Write a short story set in a fantasy land."
CLASS_5	English	Unit 7: Hiawatha (Poem), A Visit to Cambridge (Story)	"• Appreciate a poem about nature and native cultures.<br>• Understand the challenges faced by people with disabilities.<br>• Interpret narratives about personal struggle and triumph.<br>• Write a short biographical sketch."
CLASS_5	English	Unit 8: What's in the Mailbox? (Poem), The Old Clock Shop (Story)	"• Understand the function of a post office and letters.<br>• Understand the concept of time and history.<br>• Identify and use simple past tense verbs.<br>• Write a short story set in an old shop."
CLASS_5	English	Unit 9: The Clever Farmer (Story), A Watering Rhyme (Poem)	"• Understand the moral of intelligence over strength.<br>• Appreciate a poem about nature and gardening.<br>• Identify common nouns and proper nouns.<br>• Write a short paragraph on their favourite animal."
CLASS_5	Mathematics	Chapter 10: Play with Patterns	"• Identify, extend, and create patterns using shapes, colours, and numbers.<br>• Understand the rules that govern a pattern.<br>• Understand even and odd number patterns."
CLASS_5	Mathematics	Chapter 11: Tables and Shares	"• Understand multiplication as repeated addition.<br>• Learn multiplication tables up to 10.<br>• Understand division as equal sharing and repeated subtraction."
CLASS_5	Mathematics	Chapter 12: How Heavy? How Light?	"• Compare the weight of different objects using non-standard and standard units (kg, g).<br>• Understand the concept of balance and weighing scale.<br>• Solve simple problems related to weight."
CLASS_5	Mathematics	Chapter 13: Fields and Fences	"• Understand the concept of perimeter and area (informal introduction).<br>• Measure the perimeter of simple shapes using a ruler.<br>• Compare the areas of different shapes."
CLASS_5	Mathematics	Chapter 14: Jugs and Mugs	"• Measure and compare capacities of different containers.<br>• Measure capacity using standard units (litre, millilitre).<br>• Solve word problems related to capacity."
CLASS_5	Mathematics	Chapter 1: Building with Bricks	"• Identify and describe 2-D and 3-D shapes.<br>• Understand and identify different views (top, side, front) of 3-D objects.<br>• Draw shapes freehand and using a ruler."
CLASS_5	Mathematics	Chapter 2: Long and Short	"• Measure lengths using standard units (centimetres and metres).<br>• Compare lengths using standard units.<br>• Convert metres to centimetres and vice-versa (basic)."
CLASS_5	Mathematics	Chapter 3: A Trip to Bhopal	"• Add and subtract 4-digit numbers with and without carrying/borrowing.<br>• Solve word problems involving addition and subtraction.<br>• Understand the concept of distance and speed (basic)."
CLASS_5	Mathematics	Chapter 4: Tick-Tick-Tick	"• Read time to the minute on a clock.<br>• Convert hours to minutes and vice-versa.<br>• Solve word problems related to time duration."
CLASS_5	Mathematics	Chapter 5: The Way the World Looks	"• Understand and identify different views (top, side, front) of 3-D objects.<br>• Draw mirror images and symmetrical shapes.<br>• Understand the concept of map reading (basic)."
CLASS_5	Mathematics	Chapter 6: The Junk Seller	"• Understand the concept of money and profit/loss (basic introduction).<br>• Add and subtract amounts of money.<br>• Solve word problems related to buying and selling."
CLASS_5	Mathematics	Chapter 7: Jugs and Mugs	"• Measure and compare capacities of different containers.<br>• Measure capacity using standard units (litre, millilitre).<br>• Solve word problems related to capacity."
CLASS_5	Mathematics	Chapter 8: Carts and Wheels	"• Understand the concept of a circle (centre, radius, diameter).<br>• Identify objects with circular shapes.<br>• Draw circles using various methods."
CLASS_5	Mathematics	Chapter 9: Halves and Quarters	"• Understand the concept of fractions (halves, quarters, three-quarters).<br>• Identify and represent fractions using diagrams.<br>• Compare simple fractions."
CLASS_6	EVS	1. A Tale of Two Birds	"• Understand that a person's company and environment shape their character.<br>• Identify the cause-and-effect relationship in a story.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	1. Food: Where Does It Come From?	"• Differentiate between food items from plants and animals.<br>• Identify the edible parts of different plants (root, stem, leaf, flower, fruit, seed).<br>• Understand that a single meal can have ingredients from different sources.<br>• Understand the concept of sprouts and how to make them."
CLASS_6	EVS	1. Knowing Our Numbers	"• Read and write large numbers (up to 8 digits) in both Indian and international systems of numeration.<br>• Compare and order large numbers.<br>• Use estimation to check the reasonableness of answers.<br>• Use brackets to simplify calculations."
CLASS_6	EVS	1. The Earth in the Solar System	"• Understand the solar system and the position of the Earth in it.<br>• Differentiate between a star, a planet, and a satellite.<br>• Know the conditions that make life possible on Earth."
CLASS_6	EVS	1. Understanding Diversity	"• Understand what diversity is and how it is a part of our daily lives.<br>• Appreciate the diversity in India (language, religion, caste, etc.).<br>• Understand that diversity is not a source of inequality but of richness."
CLASS_6	EVS	1. What, Where, How and When?	"• Understand what history is and why we study it.<br>• Differentiate between a 'date' and a 'period'.<br>• Identify the different sources historians use to study the past."
CLASS_6	EVS	1. Who Did Patrick’s Homework?	"• Understand the theme of self-help and the importance of doing one's own work.<br>• Appreciate humour and fantasy in a story.<br>• Identify and use verb forms (present and past tense).<br>• Write a short paragraph on the benefits of reading."
CLASS_6	EVS	10. A Strange Wrestling Match	"• Understand a humorous story about a wrestling match between a student and a teacher.<br>• Appreciate the wit and humour in the story.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	10. Mensuration	"• Differentiate between perimeter and area.<br>• Calculate the perimeter of plane figures (rectangle, square, irregular shapes).<br>• Calculate the area of a rectangle and a square.<br>• Calculate the area of an irregular shape using a grid."
CLASS_6	EVS	10. Motion and Measurement of Distances	"• Understand the meaning of motion and rest.<br>• Classify motion into different types: rectilinear, circular, and periodic.<br>• Measure the length of a straight line using a scale or a thread.<br>• Understand the SI unit of length (metre) and its multiples and sub-multiples."
CLASS_6	EVS	10. The Banyan Tree	"• Appreciate a descriptive piece of writing about nature.<br>• Understand the ecosystem supported by a banyan tree.<br>• Identify and use editing skills (omitting, replacing, adding).<br>• Write a poem."
CLASS_6	EVS	10. Traders, Kings and Pilgrims	"• Understand the growth of new kingdoms along the coasts and in the south.<br>• Know about the trade with the Roman Empire and Southeast Asia.<br>• Understand the significance of the Silk Route."
CLASS_6	EVS	11. Algebra	"• Understand the concept of a variable (a letter representing a number).<br>• Use variables to form expressions and equations.<br>• Solve simple linear equations through trial and error."
CLASS_6	EVS	11. Light, Shadows and Reflections	"• Differentiate between luminous and non-luminous objects.<br>• Understand that light travels in a straight line (rectilinear propagation).<br>• Understand the formation of shadows and the working of a pinhole camera.<br>• Understand the phenomenon of reflection of light and the image formed by a plane mirror."
CLASS_6	EVS	11. New Empires and Kingdoms	"• Understand the emergence of new dynasties after the Guptas.<br>• Know about the development of temple architecture and literature during this period.<br>• Understand the significance of Harshavardhana's rule."
CLASS_6	EVS	12. Electricity and Circuits	"• Understand the concept of an electric current.<br>• Identify the components of a simple electric circuit.<br>• Understand the function of a switch.<br>• Differentiate between a conductor and an insulator."
CLASS_6	EVS	12. Ratio and Proportion	"• Understand the concept of ratio and proportion.<br>• Find equivalent ratios.<br>• Solve problems using the Unitary Method.<br>• Distinguish between direct and inverse proportion (basic idea)."
CLASS_6	EVS	13. Fun with Magnets	"• Identify magnetic and non-magnetic materials.<br>• Understand that a magnet has two poles (North and South).<br>• Understand that like poles repel and unlike poles attract each other.<br>• Understand that a freely suspended magnet always points in the North-South direction."
CLASS_6	EVS	13. Symmetry	"• Identify lines of symmetry for regular and irregular 2D shapes.<br>• Complete a given symmetric figure.<br>• Understand and identify figures with rotational symmetry."
CLASS_6	EVS	14. Practical Geometry	"• Construct a circle with a given radius.<br>• construct a line segment of a given length.<br>• Construct a copy of a given line segment and angle.<br>• Bisect a given angle."
CLASS_6	EVS	14. Water	"• Understand the importance of water for life.<br>• Know the various sources of water.<br>• Understand the water cycle in nature.<br>• Understand water pollution and its harmful effects.<br>• Know simple methods of purifying water."
CLASS_6	EVS	15. Air Around Us	"• Understand that air is present everywhere and occupies space.<br>• Understand that air exerts pressure.<br>• Know the composition of air (Nitrogen, Oxygen, Carbon dioxide, etc.).<br>• Understand air pollution and its effects."
CLASS_6	EVS	16. Garbage In, Garbage Out	"• Understand what garbage is.<br>• Differentiate between biodegradable and non-biodegradable waste.<br>• Understand the need for proper garbage disposal and management.<br>• Know about methods like composting, vermicomposting, and recycling."
CLASS_6	EVS	2. Components of Food	"• Identify the major nutrients present in food: carbohydrates, proteins, fats, vitamins, and minerals.<br>• Perform simple tests to detect the presence of starch (carbohydrate) and protein in food items.<br>• Understand the importance of a balanced diet for growth and health.<br>• Understand the role of dietary fibres and water."
CLASS_6	EVS	2. Diversity and Discrimination	"• Understand what discrimination is.<br>• Identify different forms of discrimination (caste, religion, gender, disability).<br>• Understand the negative impact of discrimination on individuals and society."
CLASS_6	EVS	2. Globe: Latitudes and Longitudes	"• Understand the globe as a model of the Earth.<br>• Define and identify the important parallels of latitude (Equator, Tropic of Cancer, Tropic of Capricorn, Arctic Circle, Antarctic Circle).<br>• Define and identify the important meridians of longitude (Prime Meridian, International Date Line).<br>• Understand the need for the standard time."
CLASS_6	EVS	2. How the Dog Found Himself a New Master!	"• Understand the fable and its moral about finding the right place for oneself.<br>• Comprehend the sequence of events in a story.<br>• Identify and use articles and determiners.<br>• Write a story with a moral."
CLASS_6	EVS	2. On the Trail of the Earliest People	"• Understand the life of early humans (hunter-gatherers).<br>• Identify the stone tools used by early people and their uses.<br>• Know about early cave paintings and their significance."
CLASS_6	EVS	2. The Friendly Mongoose	"• Understand the importance of not acting in haste and trusting a loyal pet.<br>• Analyze a story to understand the characters' feelings.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	2. Whole Numbers	"• Understand the concept of whole numbers (0, 1, 2, ...).<br>• Identify properties of whole numbers (commutative, associative, distributive).<br>• Identify and represent patterns in whole numbers."
CLASS_6	EVS	3. Fibre to Fabric	"• Understand that fabric is made from yarn, which is made from fibres.<br>• Differentiate between natural and synthetic fibres.<br>• Understand the process of making yarn from fibre (spinning).<br>• Differentiate between weaving and knitting."
CLASS_6	EVS	3. From Gathering to Growing Food	"• Understand the beginning of agriculture and its impact on human life.<br>• Know about the domestication of animals and plants.<br>• Understand the concept of a settlement and the beginning of a village life."
CLASS_6	EVS	3. Motions of the Earth	"• Understand the two main motions of the Earth: rotation and revolution.<br>• Explain the concept of day and night caused by the Earth's rotation.<br>• Explain the concept of seasons caused by the Earth's revolution and its tilted axis."
CLASS_6	EVS	3. Playing With Numbers	"• Find factors and multiples of a number.<br>• Classify numbers as prime, composite, or even/odd.<br>• Find the Highest Common Factor (HCF) and Least Common Multiple (LCM) of two or three numbers.<br>• Apply divisibility rules for 2, 3, 4, 5, 6, 8, 9, 10, 11."
CLASS_6	EVS	3. Taro’s Reward	"• Understand a story that highlights the virtue of caring for one's parents.<br>• Appreciate a story from another culture (Japan).<br>• Identify and use adverbs (types and formation).<br>• Write a description of a place."
CLASS_6	EVS	3. The Shepherd’s Treasure	"• Understand that wisdom and honesty are the greatest treasures.<br>• Appreciate a story that conveys a moral lesson.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	3. What is Government?	"• Understand the need for a government.<br>• Differentiate between different levels of government (national, state, local).<br>• Differentiate between different types of government (monarchy, democracy)."
CLASS_6	EVS	4. Basic Geometrical Ideas	"• Understand the basic elements of geometry: point, line, line segment, ray.<br>• Identify and name angles, triangles, quadrilaterals, and circles.<br>• Understand the concept of interior and exterior of a figure."
CLASS_6	EVS	4. In the Earliest Cities	"• Understand the features of the Harappan civilization.<br>• Know about the town planning, drainage system, and life in the cities.<br>• Understand the possible reasons for the decline of the civilization."
CLASS_6	EVS	4. Key Elements of a Democratic Government	"• Understand the key features of a democratic government (participation, accountability, conflict resolution).<br>• Know about the anti-apartheid struggle in South Africa.<br>• Understand the need for equality and justice."
CLASS_6	EVS	4. Maps	"• Understand the different types of maps (physical, political, thematic).<br>• Identify the three components of a map: distance, direction, and symbol.<br>• Understand the use of a sketch and a plan."
CLASS_6	EVS	4. Sorting Materials into Groups	"• Classify materials based on their properties (appearance, hardness, solubility, transparency).<br>• Understand the importance of grouping materials.<br>• Differentiate between metals and non-metals based on appearance."
CLASS_6	EVS	4. The Old-Clock Shop	"• Understand the spirit of Christmas and the joy of giving.<br>• Analyze a story to understand the characters' motivations.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	5. Major Domains of the Earth	"• Identify the four major domains of the Earth: lithosphere, hydrosphere, atmosphere, and biosphere.<br>• Understand the characteristics of each domain.<br>• Understand the interdependence of the domains."
CLASS_6	EVS	5. Panchayati Raj	"• Understand the structure and functions of the Gram Sabha and Gram Panchayat.<br>• Understand the role of the Secretary and the Sarpanch.<br>• Know about the three levels of Panchayats."
CLASS_6	EVS	5. Separation of Substances	"• Identify different methods of separation: handpicking, threshing, winnowing, sieving, sedimentation, decantation, filtration, evaporation, condensation.<br>• Choose the appropriate method for separating a given mixture.<br>• Understand the concept of a saturated solution."
CLASS_6	EVS	5. Tansen	"• Know about the life and achievements of Tansen, the great musician.<br>• Appreciate the power of music.<br>• Learn new vocabulary related to music and history."
CLASS_6	EVS	5. Understanding Elementary Shapes	"• Measure line segments using a ruler and a divider.<br>• Classify angles (acute, obtuse, right, straight, reflex).<br>• Classify triangles based on sides and angles.<br>• Identifying 3D shapes."
CLASS_6	EVS	5. What Books and Burials Tell Us	"• Understand the Vedas as a source of history.<br>• Know about the megaliths and what they tell us about burial practices.<br>• Understand the social differences revealed by burials."
CLASS_6	EVS	6. Changes Around Us	"• Differentiate between reversible and irreversible changes.<br>• Identify changes that can be reversed and those that cannot.<br>• Understand the expansion and contraction of materials on heating and cooling."
CLASS_6	EVS	6. Integers	"• Understand the concept of integers (positive and negative numbers).<br>• Represent integers on a number line.<br>• Add and subtract integers using a number line."
CLASS_6	EVS	6. Kingdoms, Kings and an Early Republic	"• Understand the transition from Janapadas to Mahajanapadas.<br>• Know about the system of taxation and agriculture.<br>• Differentiate between the Vajji confederacy (gana/sangha) and the Magadha kingdom."
CLASS_6	EVS	6. Major Landforms of the Earth	"• Differentiate between mountains, plateaus, and plains.<br>• Understand how landforms are formed (internal and external processes).<br>• Know the importance of different landforms for human life."
CLASS_6	EVS	6. Rural Administration	"• Understand the role of the police and the Patwari in maintaining law and order and land records.<br>• Know about the Hindu Succession Amendment Act, 2005.<br>• Understand the administrative structure at the district level."
CLASS_6	EVS	6. The Monkey and the Crocodile	"• Understand a story from the Panchatantra and its moral.<br>• Analyze the characters and their actions.<br>• Learn new vocabulary and use it in sentences."
CLASS_6	EVS	7. Ashoka, The Emperor Who Gave Up War	"• Understand the significance of the Mauryan Empire.<br>• Know about Ashoka's Dhamma and his message of peace.<br>• Understand the impact of the Kalinga war on Ashoka."
CLASS_6	EVS	7. Fractions	"• Understand the concept of a fraction.<br>• Represent fractions on a number line.<br>• Differentiate between proper, improper, and mixed fractions.<br>• Add and subtract fractions."
